UTC_DOY,UTC_SOY_1h,m3_m3s_1h_24hS,m4_m3s_1h_24hS,mF_m3s_1h_24hS
235.625,20358000,2.49308731762063,9.21651896745222,5.34597620650949
235.666666666667,20361600,2.55368318992388,9.44053158124437,5.47591312819544
235.708333333333,20365200,2.57099629629624,9.50453518518498,5.51303796296285
235.75,20368800,2.57099629629624,9.50453518518498,5.51303796296285
235.791666666667,20372400,2.57099629629624,9.50453518518498,5.51303796296285
235.833333333333,20376000,2.55368318992386,9.44053158124429,5.47591312819539
235.875,20379600,2.49308731762057,9.21651896745201,5.34597620650937
235.916666666667,20383200,2.37622384960711,8.78449464085269,5.09538357182924
235.958333333333,20386800,2.20309278588343,8.14445860144621,4.72413522415492
236,20390400,1.98667895622886,7.34441355218818,4.26007478956208
236.041666666667,20394000,1.75295202020193,6.48036489898955,3.75888952020182
236.083333333333,20397600,1.53653819054737,5.68031984973161,3.29482908560902
236.125,20401200,1.36340712682373,5.04028381032526,2.92358073793478
236.166666666667,20404800,1.24654365881027,4.60825948372594,2.67298810325465
236.208333333333,20408400,1.18594778650701,4.38424686993379,2.54305118156871
236.25,20412000,1.16863468013466,4.32024326599317,2.50592634680129
236.291666666667,20415600,1.18594778650704,4.38424686993387,2.54305118156875
236.333333333333,20419200,1.24654365881033,4.60825948372615,2.67298810325477
236.375,20422800,1.36340712682379,5.04028381032547,2.9235807379349
236.416666666667,20426400,1.53653819054747,5.68031984973195,3.29482908560922
236.458333333333,20430000,1.75295202020204,6.48036489898997,3.75888952020206
236.5,20433600,1.98667895622897,7.34441355218861,4.26007478956232
236.541666666667,20437200,2.20309278588352,8.14445860144655,4.72413522415512
236.583333333333,20440800,2.37622384960717,8.78449464085291,5.09538357182937
236.625,20444400,2.49308731762064,9.21651896745227,5.34597620650952
236.666666666667,20448000,2.55368318992392,9.4405315812445,5.47591312819551
236.708333333333,20451600,2.57099629629631,9.50453518518522,5.51303796296299
236.75,20455200,2.57099629629635,9.50453518518537,5.51303796296307
236.791666666667,20458800,2.57099629629639,9.50453518518552,5.51303796296316
236.833333333333,20462400,2.55368318992405,9.44053158124497,5.47591312819578
236.875,20466000,2.49308731762079,9.2165189674528,5.34597620650983
236.916666666667,20469600,2.37622384960734,8.78449464085356,5.09538357182975
236.958333333333,20473200,2.20309278588368,8.14445860144711,4.72413522415545
237,20476800,1.98667895622911,7.3444135521891,4.26007478956261
237.041666666667,20480400,1.75295202020217,6.48036489899046,3.75888952020234
237.083333333333,20484000,1.53653819054761,5.68031984973248,3.29482908560952
