Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY,q_suh_mmh
2017-08-05 00:00:00,0.2473205,0.3471600624999919,0.07714668055555374,18662400.0,216.0,3.8790067087665707
2017-08-05 01:00:00,0.1388375,0.22857920833332515,0.05079537962962782,18666000.0,216.04166666666666,3.4420124819586344
2017-08-05 02:00:00,0.1076585,0.14154383333332518,0.03145418518518337,18669600.0,216.08333333333334,2.97646036810121
2017-08-05 03:00:00,0.09259200000000001,0.09594787499999187,0.02132174999999819,18673200.0,216.125,2.511694723257379
2017-08-05 04:00:00,0.059691999999999995,0.0904440416666585,0.020098675925924115,18676800.0,216.16666666666666,2.077146759136351
2017-08-05 05:00:00,0.05705850000000001,0.11939285416665853,0.02653174537036856,18680400.0,216.20833333333334,1.698758216500299
2017-08-05 06:00:00,0.07654150000000001,0.1860716458333252,0.04134925462962782,18684000.0,216.25,1.3960526865801623
2017-08-05 07:00:00,0.18065000000000003,0.3013964374999919,0.06697698611110929,18687600.0,216.29166666666666,1.184853495045837
2017-08-05 08:00:00,0.36422100000000013,0.4622437916666585,0.10272084259259079,18691200.0,216.33333333333334,1.0818447486471532
2017-08-05 09:00:00,0.6053835000000001,0.6093764166666586,0.13541698148147968,18694800.0,216.375,1.1012055311935636
2017-08-05 10:00:00,0.8427960000000001,0.701250249999992,0.15583338888888712,18698400.0,216.41666666666666,1.2318163789761583
2017-08-05 11:00:00,1.1185705,0.9068132083333253,0.2015140462962945,18702000.0,216.45833333333334,1.4359606176055362
2017-08-05 12:00:00,0.642846,1.0935584791666584,0.24301299537036855,18705600.0,216.5,1.7322295115448405
2017-08-05 13:00:00,1.0871250000000001,1.2376914166666586,0.2750425370370353,18709200.0,216.54166666666666,2.1127028697794
2017-08-05 14:00:00,1.5952290000000002,1.329742999999992,0.2954984444444426,18712800.0,216.58333333333334,2.548772668573078
2017-08-05 15:00:00,1.6287040000000002,1.4149113958333253,0.3144247546296278,18716400.0,216.625,3.001525580934634
2017-08-05 16:00:00,1.6167500000000004,1.5209015208333256,0.337978115740739,18720000.0,216.66666666666666,3.448545633173988
2017-08-05 17:00:00,1.5381165,1.4557227291666586,0.323493939814813,18723600.0,216.70833333333334,3.888044995764129
2017-08-05 18:00:00,1.4106460000000003,1.3411699374999917,0.29803776388888703,18727200.0,216.75,4.254341654025834
2017-08-05 19:00:00,1.2679460000000002,1.1880619791666585,0.2640137731481463,18730800.0,216.79166666666666,4.50541256828889
2017-08-05 20:00:00,1.0522040000000001,1.004951333333325,0.2233225185185167,18734400.0,216.83333333333334,4.61872579561935
2017-08-05 21:00:00,0.8607040000000002,0.8113354999999915,0.18029677777777592,18738000.0,216.875,4.5863552409481425
2017-08-05 22:00:00,0.6285375000000001,0.6198057499999916,0.13773461111110924,18741600.0,216.91666666666666,4.415442966816082
2017-08-05 23:00:00,0.38094550000000005,0.45479033333332486,0.10106451851851664,18745200.0,216.95833333333334,4.124215003098623
2017-08-06 00:00:00,0.2340915,0.32031229166665826,0.07118050925925738,18748800.0,217.0,3.743547617993027
2017-08-06 01:00:00,0.152654,0.22173856249999158,0.04927523611110924,18752400.0,217.04166666666666,3.308599266015261
2017-08-06 02:00:00,0.13686700000000002,0.16260687499999155,0.03613486111110924,18756000.0,217.08333333333334,2.8549779020927133
2017-08-06 03:00:00,0.121517,0.14025537499999152,0.03116786111110923,18759600.0,217.125,2.4162325222580714
2017-08-06 04:00:00,0.11647950000000001,0.14960785416665823,0.033246189814812935,18763200.0,217.16666666666666,2.020507466407988
2017-08-06 05:00:00,0.12503350000000002,0.18637135416665823,0.041415856481479614,18766800.0,217.20833333333334,1.6886300905902598
2017-08-06 06:00:00,0.2028375,0.2721243958333249,0.060472087962961094,18770400.0,217.25,1.4342687137067012
2017-08-06 07:00:00,0.22690849999999999,0.37534433333332495,0.08340985185184997,18774000.0,217.29166666666666,1.274667192553322
2017-08-06 08:00:00,0.5005665000000001,0.48608579166665833,0.10801906481481295,18777600.0,217.33333333333334,1.2148456207305725
2017-08-06 09:00:00,0.6256250000000001,0.6082607499999916,0.13516905555555367,18781200.0,217.375,1.2498357787975258
2017-08-06 10:00:00,0.7860960000000001,0.701860895833325,0.1559690879629611,18784800.0,217.41666666666666,1.3721048949196228
2017-08-06 11:00:00,0.9646915,0.9031675208333252,0.2007038935185167,18788400.0,217.45833333333334,1.5583269709379042
2017-08-06 12:00:00,0.6333165000000001,1.068594437499992,0.23746543055555377,18792000.0,217.5,1.8324251626939665
2017-08-06 13:00:00,1.1646960000000002,1.2022079166666586,0.26715731481481303,18795600.0,217.54166666666666,2.18282505320046
2017-08-06 14:00:00,1.6473125000000002,1.3448184791666586,0.2988485509259241,18799200.0,217.58333333333334,2.5841872710381555
2017-08-06 15:00:00,1.5989915000000001,1.4551519999999918,0.3233671111111093,18802800.0,217.625,3.0230554524063487
2017-08-06 16:00:00,1.5561415000000003,1.5536309999999918,0.3452513333333315,18806400.0,217.66666666666666,3.476940942164897
2017-08-06 17:00:00,1.6325415000000003,1.479650958333325,0.3288113240740722,18810000.0,217.70833333333334,3.9293126407030865
2017-08-06 18:00:00,1.5075415,1.3314209166666586,0.295871314814813,18813600.0,217.75,4.3065615456986945
2017-08-06 19:00:00,1.3004710000000002,1.1983195833333253,0.2662932407407389,18817200.0,217.79166666666666,4.553644232535826
2017-08-06 20:00:00,0.9361500000000003,1.0044638749999917,0.2232141944444426,18820800.0,217.83333333333334,4.664144996809535
2017-08-06 21:00:00,0.7479415,0.7743258333333248,0.17207240740740554,18824400.0,217.875,4.6256709632869555
2017-08-06 22:00:00,0.6985835000000001,0.5625214791666582,0.1250047731481463,18828000.0,217.91666666666666,4.433714695052695
2017-08-06 23:00:00,0.3184665000000001,0.3923593541666582,0.0871909675925907,18831600.0,217.95833333333334,4.10887160739218
2017-08-07 00:00:00,0.133379,0.2866307916666583,0.06369573148147961,18835200.0,218.0,3.6902118088890536
2017-08-07 01:00:00,0.1106625,0.17814558333332492,0.03958790740740553,18838800.0,218.04166666666666,3.230153143759023
2017-08-07 02:00:00,0.10539199999999999,0.11122633333332489,0.024716962962961088,18842400.0,218.08333333333334,2.756130413173425
2017-08-07 03:00:00,0.106092,0.09629791666665823,0.021399537037035163,18846000.0,218.125,2.2982386808140784
2017-08-07 04:00:00,0.079067,0.10182641666665825,0.02262809259259072,18849600.0,218.16666666666666,1.8887487028958616
2017-08-07 05:00:00,0.07525,0.12102304166665823,0.026894009259257383,18853200.0,218.20833333333334,1.5455339853030712
2017-08-07 06:00:00,0.09953350000000001,0.15203231249999158,0.033784958333331463,18856800.0,218.25,1.2753666189805204
2017-08-07 07:00:00,0.1832125,0.20995949999999158,0.046657666666664786,18860400.0,218.29166666666666,1.0784482337242263
2017-08-07 08:00:00,0.229708,0.2827105208333249,0.06282456018518331,18864000.0,218.33333333333334,0.9577633661729775
2017-08-07 09:00:00,0.34901650000000006,0.3614872708333248,0.08033050462962774,18867600.0,218.375,0.9126239365898059
2017-08-07 10:00:00,0.46419150000000015,0.45543308333332483,0.10120735185184995,18871200.0,218.41666666666666,0.9373192578573006
2017-08-07 11:00:00,0.5498585,0.5522138749999915,0.12271419444444256,18874800.0,218.45833333333334,1.0279474109773403
2017-08-07 12:00:00,0.5752750000000001,0.6088804166666584,0.1353067592592574,18878400.0,218.5,1.1769494086286796
2017-08-07 13:00:00,0.8013835000000002,0.6268649583333249,0.1393033240740722,18882000.0,218.54166666666666,1.3595555853885153
2017-08-07 14:00:00,0.7465875000000002,0.6338222499999916,0.14084938888888704,18885600.0,218.58333333333334,1.5460047769179222
2017-08-07 15:00:00,0.5746375000000001,0.6254270624999917,0.1389837916666648,18889200.0,218.625,1.717848905511571
2017-08-07 16:00:00,0.5821165000000001,0.599324645833325,0.1331832546296278,18892800.0,218.66666666666666,1.8621644534248736
2017-08-07 17:00:00,0.5259500000000001,0.5873378749999918,0.13051952777777592,18896400.0,218.70833333333334,1.9689557354946827
2017-08-07 18:00:00,0.4610000000000001,0.5724856249999917,0.12721902777777594,18900000.0,218.75,2.042996247626847
2017-08-07 19:00:00,0.6743585000000001,0.5443976041666584,0.12097724537036852,18903600.0,218.79166666666666,2.0886992267217557
2017-08-07 20:00:00,0.6763795000000001,0.5116613124999917,0.11370251388888704,18907200.0,218.83333333333334,2.1058519706773966
2017-08-07 21:00:00,0.4804750000000001,0.4706341041666584,0.10458535648147964,18910800.0,218.875,2.095546594229262
2017-08-07 22:00:00,0.3634580000000001,0.3957144791666583,0.08793655092592406,18914400.0,218.91666666666666,2.0578988779525043
2017-08-07 23:00:00,0.350296,0.28616689583332494,0.06359264351851665,18918000.0,218.95833333333334,1.982685196089166
2017-08-08 00:00:00,0.16327100000000003,0.20722249999999157,0.046049444444442575,18921600.0,219.0,1.8556621836779224
2017-08-08 01:00:00,0.08577500000000002,0.15593472916665824,0.03465216203703517,18925200.0,219.04166666666666,1.6872375703033726
2017-08-08 02:00:00,0.067517,0.10747679166665826,0.02388373148147961,18928800.0,219.08333333333334,1.4971255197807645
2017-08-08 03:00:00,0.0760295,0.08104531249999157,0.018010069444442573,18932400.0,219.125,1.297718590238463
2017-08-08 04:00:00,0.057942000000000014,0.11039337499999158,0.024531861111109242,18936000.0,219.16666666666666,1.1041482314449982
2017-08-08 05:00:00,0.0796125,0.16686904166665822,0.03708200925925739,18939600.0,219.20833333333334,0.9442800934264293
2017-08-08 06:00:00,0.1345125,0.25531191666665826,0.05673598148147961,18943200.0,219.25,0.8380155585014337
2017-08-08 07:00:00,0.39341650000000006,0.38085441666665826,0.08463431481481296,18946800.0,219.29166666666666,0.8013942387487478
2017-08-08 08:00:00,0.42532100000000006,0.5489076666666584,0.12197948148147963,18950400.0,219.33333333333334,0.8489882330482721
2017-08-08 09:00:00,0.6831045000000001,0.697749895833325,0.15505553240740555,18954000.0,219.375,0.9953043043362475
2017-08-08 10:00:00,0.9168000000000001,0.8146711041666582,0.18103802314814627,18957600.0,219.41666666666666,1.2296207746939634
2017-08-08 11:00:00,1.1674375000000001,1.0022840833333249,0.2227297962962944,18961200.0,219.45833333333334,1.525720332320028
2017-08-08 12:00:00,0.7255125000000002,1.173812645833325,0.26084725462962777,18964800.0,219.5,1.8923302487419904
2017-08-08 13:00:00,1.3400625000000002,1.309642145833325,0.29103158796296114,18968400.0,219.54166666666666,2.320164473341515
2017-08-08 14:00:00,1.5942165000000004,1.3980048333333253,0.3106677407407389,18972000.0,219.58333333333334,2.784970977570455
2017-08-08 15:00:00,1.6408915000000002,1.4834223749999917,0.32964941666666486,18975600.0,219.625,3.25348773694256
2017-08-08 16:00:00,1.6345625000000001,1.549091270833325,0.3442425046296278,18979200.0,219.66666666666666,3.708799735423783
2017-08-08 17:00:00,1.5784210000000003,1.491453270833325,0.3314340601851833,18982800.0,219.70833333333334,4.136832903475201
2017-08-08 18:00:00,1.4644460000000004,1.3816095833333248,0.30702435185184995,18986400.0,219.75,4.486434765317593
2017-08-08 19:00:00,1.311708,1.2326243124999916,0.2739165138888871,18990000.0,219.79166666666666,4.7218468340029265
2017-08-08 20:00:00,1.1160585,1.0503135624999915,0.233403013888887,18993600.0,219.83333333333334,4.823109054848532
2017-08-08 21:00:00,0.8845125000000003,0.8474069583333248,0.18831265740740555,18997200.0,219.875,4.781837409843716
2017-08-08 22:00:00,0.6501415000000001,0.6453029999999915,0.1434006666666648,19000800.0,219.91666666666666,4.600767365411221
2017-08-08 23:00:00,0.4338545000000001,0.4649204166666583,0.10331564814814627,19004400.0,219.95833333333334,4.295753407696208
2017-08-09 00:00:00,0.22063750000000001,0.3207291249999916,0.07127313888888702,19008000.0,220.0,3.895136858399292
2017-08-09 01:00:00,0.133846,0.21294604166665826,0.04732134259259072,19011600.0,220.04166666666666,3.4356548488535936
2017-08-09 02:00:00,0.10237950000000001,0.1429073541666582,0.03175718981481293,19015200.0,220.08333333333334,2.9543159835798734
